"Year","POLAR4 Quintile","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2017","Quintile 3","18","Scotland","I use another term","0"," ",""
"2018","Quintile 3","18","Scotland","I use another term","0"," ",""
"2019","Quintile 3","18","Scotland","I use another term","0"," ",""
"2020","Quintile 3","18","Scotland","I use another term","0"," ",""
"2021","Quintile 3","18","Scotland","I use another term","0"," ",""
"2022","Quintile 3","18","Scotland","I use another term","0"," ",""
"2023","Quintile 3","18","Scotland","I use another term","0"," ",""
"2024","Quintile 3","18","Scotland","I use another term","20"," ",""
"2015","Quintile 3","18","Wales","I use another term","0"," ",""
"2016","Quintile 3","18","Wales","I use another term","0"," ",""
"2017","Quintile 3","18","Wales","I use another term","0"," ",""
"2018","Quintile 3","18","Wales","I use another term","0"," ",""
"2019","Quintile 3","18","Wales","I use another term","0"," ",""
"2020","Quintile 3","18","Wales","I use another term","0"," ",""
"2021","Quintile 3","18","Wales","I use another term","0"," ",""
"2022","Quintile 3","18","Wales","I use another term","0"," ",""
"2023","Quintile 3","18","Wales","I use another term","0"," ",""
"2024","Quintile 3","18","Wales","I use another term","20"," ",""
"2015","Quintile 4","18","Northern Ireland","I use another term","0"," ",""
"2016","Quintile 4","18","Northern Ireland","I use another term","0"," ",""
"2017","Quintile 4","18","Northern Ireland","I use another term","0"," ",""
"2018","Quintile 4","18","Northern Ireland","I use another term","0"," ",""
"2019","Quintile 4","18","Northern Ireland","I use another term","0"," ",""
"2020","Quintile 4","18","Northern Ireland","I use another term","0"," ",""
"2021","Quintile 4","18","Northern Ireland","I use another term","0"," ",""
"2022","Quintile 4","18","Northern Ireland","I use another term","0"," ",""
"2023","Quintile 4","18","Northern Ireland","I use another term","0"," ",""
"2024","Quintile 4","18","Northern Ireland","I use another term","10"," ",""
"2015","Quintile 4","18","England","I use another term","0"," ",""
"2016","Quintile 4","18","England","I use another term","0"," ",""
"2017","Quintile 4","18","England","I use another term","0"," ",""
"2018","Quintile 4","18","England","I use another term","0"," ",""
"2019","Quintile 4","18","England","I use another term","0"," ",""
"2020","Quintile 4","18","England","I use another term","0"," ",""
"2021","Quintile 4","18","England","I use another term","0"," ",""
"2022","Quintile 4","18","England","I use another term","0"," ",""
"2023","Quintile 4","18","England","I use another term","0"," ",""
"2024","Quintile 4","18","England","I use another term","490"," ",""
"2015","Quintile 4","18","Scotland","I use another term","0"," ",""
"2016","Quintile 4","18","Scotland","I use another term","0"," ",""
"2017","Quintile 4","18","Scotland","I use another term","0"," ",""
"2018","Quintile 4","18","Scotland","I use another term","0"," ",""
"2019","Quintile 4","18","Scotland","I use another term","0"," ",""
"2020","Quintile 4","18","Scotland","I use another term","0"," ",""
"2021","Quintile 4","18","Scotland","I use another term","0"," ",""
"2022","Quintile 4","18","Scotland","I use another term","0"," ",""
"2023","Quintile 4","18","Scotland","I use another term","0"," ",""
"2024","Quintile 4","18","Scotland","I use another term","40"," ",""
"2015","Quintile 4","18","Wales","I use another term","0"," ",""
"2016","Quintile 4","18","Wales","I use another term","0"," ",""
"2017","Quintile 4","18","Wales","I use another term","0"," ",""
"2018","Quintile 4","18","Wales","I use another term","0"," ",""
"2019","Quintile 4","18","Wales","I use another term","0"," ",""
"2020","Quintile 4","18","Wales","I use another term","0"," ",""
"2021","Quintile 4","18","Wales","I use another term","0"," ",""
"2022","Quintile 4","18","Wales","I use another term","0"," ",""
"2023","Quintile 4","18","Wales","I use another term","0"," ",""
"2024","Quintile 4","18","Wales","I use another term","30"," ",""
"2015","Quintile 5","18","Northern Ireland","I use another term","0"," ",""
"2016","Quintile 5","18","Northern Ireland","I use another term","0"," ",""
"2017","Quintile 5","18","Northern Ireland","I use another term","0"," ",""
"2018","Quintile 5","18","Northern Ireland","I use another term","0"," ",""
"2019","Quintile 5","18","Northern Ireland","I use another term","0"," ",""
"2020","Quintile 5","18","Northern Ireland","I use another term","0"," ",""
"2021","Quintile 5","18","Northern Ireland","I use another term","0"," ",""
"2022","Quintile 5","18","Northern Ireland","I use another term","0"," ",""
"2023","Quintile 5","18","Northern Ireland","I use another term","0"," ",""
"2024","Quintile 5","18","Northern Ireland","I use another term","10"," ",""
"2015","Quintile 5","18","England","I use another term","0"," ",""
"2016","Quintile 5","18","England","I use another term","0"," ",""
"2017","Quintile 5","18","England","I use another term","0"," ",""
"2018","Quintile 5","18","England","I use another term","0"," ",""
"2019","Quintile 5","18","England","I use another term","0"," ",""
"2020","Quintile 5","18","England","I use another term","0"," ",""
"2021","Quintile 5","18","England","I use another term","0"," ",""
"2022","Quintile 5","18","England","I use another term","0"," ",""
"2023","Quintile 5","18","England","I use another term","0"," ",""
"2024","Quintile 5","18","England","I use another term","610"," ",""
"2015","Quintile 5","18","Scotland","I use another term","0"," ",""
"2016","Quintile 5","18","Scotland","I use another term","0"," ",""
"2017","Quintile 5","18","Scotland","I use another term","0"," ",""
"2018","Quintile 5","18","Scotland","I use another term","0"," ",""
"2019","Quintile 5","18","Scotland","I use another term","0"," ",""
"2020","Quintile 5","18","Scotland","I use another term","0"," ",""
"2021","Quintile 5","18","Scotland","I use another term","0"," ",""
"2022","Quintile 5","18","Scotland","I use another term","0"," ",""
"2023","Quintile 5","18","Scotland","I use another term","0"," ",""
"2024","Quintile 5","18","Scotland","I use another term","70"," ",""
"2015","Quintile 5","18","Wales","I use another term","0"," ",""
"2016","Quintile 5","18","Wales","I use another term","0"," ",""
"2017","Quintile 5","18","Wales","I use another term","0"," ",""
"2018","Quintile 5","18","Wales","I use another term","0"," ",""
"2019","Quintile 5","18","Wales","I use another term","0"," ",""
"2020","Quintile 5","18","Wales","I use another term","0"," ",""
"2021","Quintile 5","18","Wales","I use another term","0"," ",""
"2022","Quintile 5","18","Wales","I use another term","0"," ",""
"2023","Quintile 5","18","Wales","I use another term","0"," ",""
"2024","Quintile 5","18","Wales","I use another term","20"," ",""
"2015","Quintile 1","18","Northern Ireland","I prefer not to say","0"," ",""
"2016","Quintile 1","18","Northern Ireland","I prefer not to say","0"," ",""
"2017","Quintile 1","18","Northern Ireland","I prefer not to say","0"," ",""
"2018","Quintile 1","18","Northern Ireland","I prefer not to say","0"," ",""
"2019","Quintile 1","18","Northern Ireland","I prefer not to say","0"," ",""
"2020","Quintile 1","18","Northern Ireland","I prefer not to say","0"," ",""
"2021","Quintile 1","18","Northern Ireland","I prefer not to say","0"," ",""
"2022","Quintile 1","18","Northern Ireland","I prefer not to say","0"," ",""
"2023","Quintile 1","18","Northern Ireland","I prefer not to say","0"," ",""
"2024","Quintile 1","18","Northern Ireland","I prefer not to say","10"," ",""
"2015","Quintile 1","18","England","I prefer not to say","0"," ",""
"2016","Quintile 1","18","England","I prefer not to say","0"," ",""
"2017","Quintile 1","18","England","I prefer not to say","0"," ",""
"2018","Quintile 1","18","England","I prefer not to say","0"," ",""
"2019","Quintile 1","18","England","I prefer not to say","0"," ",""
"2020","Quintile 1","18","England","I prefer not to say","0"," ",""
"2021","Quintile 1","18","England","I prefer not to say","0"," ",""
"2022","Quintile 1","18","England","I prefer not to say","0"," ",""
"2023","Quintile 1","18","England","I prefer not to say","0"," ",""
"2024","Quintile 1","18","England","I prefer not to say","300"," ",""
"2015","Quintile 1","18","Scotland","I prefer not to say","0"," ",""
"2016","Quintile 1","18","Scotland","I prefer not to say","0"," ",""
"2017","Quintile 1","18","Scotland","I prefer not to say","0"," ",""
"2018","Quintile 1","18","Scotland","I prefer not to say","0"," ",""
"2019","Quintile 1","18","Scotland","I prefer not to say","0"," ",""
"2020","Quintile 1","18","Scotland","I prefer not to say","0"," ",""
"2021","Quintile 1","18","Scotland","I prefer not to say","0"," ",""
"2022","Quintile 1","18","Scotland","I prefer not to say","0"," ",""
"2023","Quintile 1","18","Scotland","I prefer not to say","0"," ",""
"2024","Quintile 1","18","Scotland","I prefer not to say","10"," ",""
"2015","Quintile 1","18","Wales","I prefer not to say","0"," ",""
"2016","Quintile 1","18","Wales","I prefer not to say","0"," ",""
"2017","Quintile 1","18","Wales","I prefer not to say","0"," ",""
"2018","Quintile 1","18","Wales","I prefer not to say","0"," ",""
"2019","Quintile 1","18","Wales","I prefer not to say","0"," ",""
"2020","Quintile 1","18","Wales","I prefer not to say","0"," ",""
"2021","Quintile 1","18","Wales","I prefer not to say","0"," ",""
"2022","Quintile 1","18","Wales","I prefer not to say","0"," ",""
"2023","Quintile 1","18","Wales","I prefer not to say","0"," ",""
"2024","Quintile 1","18","Wales","I prefer not to say","10"," ",""
"2015","Quintile 2","18","Northern Ireland","I prefer not to say","0"," ",""
"2016","Quintile 2","18","Northern Ireland","I prefer not to say","0"," ",""
"2017","Quintile 2","18","Northern Ireland","I prefer not to say","0"," ",""
"2018","Quintile 2","18","Northern Ireland","I prefer not to say","0"," ",""
"2019","Quintile 2","18","Northern Ireland","I prefer not to say","0"," ",""
"2020","Quintile 2","18","Northern Ireland","I prefer not to say","0"," ",""
"2021","Quintile 2","18","Northern Ireland","I prefer not to say","0"," ",""
"2022","Quintile 2","18","Northern Ireland","I prefer not to say","0"," ",""
"2023","Quintile 2","18","Northern Ireland","I prefer not to say","0"," ",""
"2024","Quintile 2","18","Northern Ireland","I prefer not to say","10"," ",""
"2015","Quintile 2","18","England","I prefer not to say","0"," ",""
"2016","Quintile 2","18","England","I prefer not to say","0"," ",""
"2017","Quintile 2","18","England","I prefer not to say","0"," ",""
"2018","Quintile 2","18","England","I prefer not to say","0"," ",""
"2019","Quintile 2","18","England","I prefer not to say","0"," ",""
"2020","Quintile 2","18","England","I prefer not to say","0"," ",""
"2021","Quintile 2","18","England","I prefer not to say","0"," ",""
"2022","Quintile 2","18","England","I prefer not to say","0"," ",""
"2023","Quintile 2","18","England","I prefer not to say","0"," ",""
"2024","Quintile 2","18","England","I prefer not to say","320"," ",""
"2015","Quintile 2","18","Scotland","I prefer not to say","0"," ",""
"2016","Quintile 2","18","Scotland","I prefer not to say","0"," ",""
"2017","Quintile 2","18","Scotland","I prefer not to say","0"," ",""
"2018","Quintile 2","18","Scotland","I prefer not to say","0"," ",""
"2019","Quintile 2","18","Scotland","I prefer not to say","0"," ",""
"2020","Quintile 2","18","Scotland","I prefer not to say","0"," ",""
"2021","Quintile 2","18","Scotland","I prefer not to say","0"," ",""
"2022","Quintile 2","18","Scotland","I prefer not to say","0"," ",""
"2023","Quintile 2","18","Scotland","I prefer not to say","0"," ",""
"2024","Quintile 2","18","Scotland","I prefer not to say","20"," ",""
"2015","Quintile 2","18","Wales","I prefer not to say","0"," ",""
"2016","Quintile 2","18","Wales","I prefer not to say","0"," ",""
"2017","Quintile 2","18","Wales","I prefer not to say","0"," ",""
"2018","Quintile 2","18","Wales","I prefer not to say","0"," ",""
"2019","Quintile 2","18","Wales","I prefer not to say","0"," ",""
"2020","Quintile 2","18","Wales","I prefer not to say","0"," ",""
"2021","Quintile 2","18","Wales","I prefer not to say","0"," ",""
"2022","Quintile 2","18","Wales","I prefer not to say","0"," ",""
"2023","Quintile 2","18","Wales","I prefer not to say","0"," ",""
"2024","Quintile 2","18","Wales","I prefer not to say","20"," ",""
"2015","Quintile 3","18","Northern Ireland","I prefer not to say","0"," ",""
"2016","Quintile 3","18","Northern Ireland","I prefer not to say","0"," ",""
"2017","Quintile 3","18","Northern Ireland","I prefer not to say","0"," ",""
"2018","Quintile 3","18","Northern Ireland","I prefer not to say","0"," ",""
"2019","Quintile 3","18","Northern Ireland","I prefer not to say","0"," ",""
"2020","Quintile 3","18","Northern Ireland","I prefer not to say","0"," ",""
"2021","Quintile 3","18","Northern Ireland","I prefer not to say","0"," ",""
"2022","Quintile 3","18","Northern Ireland","I prefer not to say","0"," ",""
"2023","Quintile 3","18","Northern Ireland","I prefer not to say","0"," ",""
"2024","Quintile 3","18","Northern Ireland","I prefer not to say","10"," ",""
"2015","Quintile 3","18","England","I prefer not to say","0"," ",""
"2016","Quintile 3","18","England","I prefer not to say","0"," ",""
"2017","Quintile 3","18","England","I prefer not to say","0"," ",""
"2018","Quintile 3","18","England","I prefer not to say","0"," ",""
"2019","Quintile 3","18","England","I prefer not to say","0"," ",""
"2020","Quintile 3","18","England","I prefer not to say","0"," ",""
"2021","Quintile 3","18","England","I prefer not to say","0"," ",""
"2022","Quintile 3","18","England","I prefer not to say","0"," ",""
"2023","Quintile 3","18","England","I prefer not to say","0"," ",""
"2024","Quintile 3","18","England","I prefer not to say","350"," ",""
"2015","Quintile 3","18","Scotland","I prefer not to say","0"," ",""
"2016","Quintile 3","18","Scotland","I prefer not to say","0"," ",""
"2017","Quintile 3","18","Scotland","I prefer not to say","0"," ",""
"2018","Quintile 3","18","Scotland","I prefer not to say","0"," ",""
"2019","Quintile 3","18","Scotland","I prefer not to say","0"," ",""
"2020","Quintile 3","18","Scotland","I prefer not to say","0"," ",""
"2021","Quintile 3","18","Scotland","I prefer not to say","0"," ",""
"2022","Quintile 3","18","Scotland","I prefer not to say","0"," ",""
"2023","Quintile 3","18","Scotland","I prefer not to say","0"," ",""
"2024","Quintile 3","18","Scotland","I prefer not to say","30"," ",""
"2015","Quintile 3","18","Wales","I prefer not to say","0"," ",""
"2016","Quintile 3","18","Wales","I prefer not to say","0"," ",""
"2017","Quintile 3","18","Wales","I prefer not to say","0"," ",""
"2018","Quintile 3","18","Wales","I prefer not to say","0"," ",""
"2019","Quintile 3","18","Wales","I prefer not to say","0"," ",""
"2020","Quintile 3","18","Wales","I prefer not to say","0"," ",""
"2021","Quintile 3","18","Wales","I prefer not to say","0"," ",""
"2022","Quintile 3","18","Wales","I prefer not to say","0"," ",""
"2023","Quintile 3","18","Wales","I prefer not to say","0"," ",""
"2024","Quintile 3","18","Wales","I prefer not to say","20"," ",""
"2015","Quintile 4","18","Northern Ireland","I prefer not to say","0"," ",""
"2016","Quintile 4","18","Northern Ireland","I prefer not to say","0"," ",""
"2017","Quintile 4","18","Northern Ireland","I prefer not to say","0"," ",""
"2018","Quintile 4","18","Northern Ireland","I prefer not to say","0"," ",""
"2019","Quintile 4","18","Northern Ireland","I prefer not to say","0"," ",""
"2020","Quintile 4","18","Northern Ireland","I prefer not to say","0"," ",""
"2021","Quintile 4","18","Northern Ireland","I prefer not to say","0"," ",""
"2022","Quintile 4","18","Northern Ireland","I prefer not to say","0"," ",""
"2023","Quintile 4","18","Northern Ireland","I prefer not to say","0"," ",""
"2024","Quintile 4","18","Northern Ireland","I prefer not to say","10"," ",""
"2015","Quintile 4","18","England","I prefer not to say","0"," ",""
"2016","Quintile 4","18","England","I prefer not to say","0"," ",""
"2017","Quintile 4","18","England","I prefer not to say","0"," ",""
"2018","Quintile 4","18","England","I prefer not to say","0"," ",""
"2019","Quintile 4","18","England","I prefer not to say","0"," ",""
"2020","Quintile 4","18","England","I prefer not to say","0"," ",""
"2021","Quintile 4","18","England","I prefer not to say","0"," ",""
"2022","Quintile 4","18","England","I prefer not to say","0"," ",""
"2023","Quintile 4","18","England","I prefer not to say","0"," ",""
"2024","Quintile 4","18","England","I prefer not to say","480"," ",""
"2015","Quintile 4","18","Scotland","I prefer not to say","0"," ",""
"2016","Quintile 4","18","Scotland","I prefer not to say","0"," ",""
"2017","Quintile 4","18","Scotland","I prefer not to say","0"," ",""
"2018","Quintile 4","18","Scotland","I prefer not to say","0"," ",""
"2019","Quintile 4","18","Scotland","I prefer not to say","0"," ",""
"2020","Quintile 4","18","Scotland","I prefer not to say","0"," ",""
"2021","Quintile 4","18","Scotland","I prefer not to say","0"," ",""
"2022","Quintile 4","18","Scotland","I prefer not to say","0"," ",""
"2023","Quintile 4","18","Scotland","I prefer not to say","0"," ",""
"2024","Quintile 4","18","Scotland","I prefer not to say","30"," ",""
"2015","Quintile 4","18","Wales","I prefer not to say","0"," ",""
"2016","Quintile 4","18","Wales","I prefer not to say","0"," ",""
"2017","Quintile 4","18","Wales","I prefer not to say","0"," ",""
"2018","Quintile 4","18","Wales","I prefer not to say","0"," ",""
"2019","Quintile 4","18","Wales","I prefer not to say","0"," ",""
"2020","Quintile 4","18","Wales","I prefer not to say","0"," ",""
"2021","Quintile 4","18","Wales","I prefer not to say","0"," ",""
"2022","Quintile 4","18","Wales","I prefer not to say","0"," ",""
"2023","Quintile 4","18","Wales","I prefer not to say","0"," ",""
"2024","Quintile 4","18","Wales","I prefer not to say","10"," ",""
"2015","Quintile 5","18","Northern Ireland","I prefer not to say","0"," ",""
"2016","Quintile 5","18","Northern Ireland","I prefer not to say","0"," ",""
"2017","Quintile 5","18","Northern Ireland","I prefer not to say","0"," ",""
"2018","Quintile 5","18","Northern Ireland","I prefer not to say","0"," ",""
"2019","Quintile 5","18","Northern Ireland","I prefer not to say","0"," ",""
"2020","Quintile 5","18","Northern Ireland","I prefer not to say","0"," ",""
"2021","Quintile 5","18","Northern Ireland","I prefer not to say","0"," ",""
"2022","Quintile 5","18","Northern Ireland","I prefer not to say","0"," ",""
"2023","Quintile 5","18","Northern Ireland","I prefer not to say","0"," ",""
"2024","Quintile 5","18","Northern Ireland","I prefer not to say","20"," ",""
"2015","Quintile 5","18","England","I prefer not to say","0"," ",""
"2016","Quintile 5","18","England","I prefer not to say","0"," ",""
"2017","Quintile 5","18","England","I prefer not to say","0"," ",""
"2018","Quintile 5","18","England","I prefer not to say","0"," ",""
"2019","Quintile 5","18","England","I prefer not to say","0"," ",""
"2020","Quintile 5","18","England","I prefer not to say","0"," ",""
"2021","Quintile 5","18","England","I prefer not to say","0"," ",""
"2022","Quintile 5","18","England","I prefer not to say","0"," ",""
"2023","Quintile 5","18","England","I prefer not to say","0"," ",""
"2024","Quintile 5","18","England","I prefer not to say","720"," ",""
"2015","Quintile 5","18","Scotland","I prefer not to say","0"," ",""
"2016","Quintile 5","18","Scotland","I prefer not to say","0"," ",""
"2017","Quintile 5","18","Scotland","I prefer not to say","0"," ",""
"2018","Quintile 5","18","Scotland","I prefer not to say","0"," ",""
"2019","Quintile 5","18","Scotland","I prefer not to say","0"," ",""
"2020","Quintile 5","18","Scotland","I prefer not to say","0"," ",""
"2021","Quintile 5","18","Scotland","I prefer not to say","0"," ",""
"2022","Quintile 5","18","Scotland","I prefer not to say","0"," ",""
"2023","Quintile 5","18","Scotland","I prefer not to say","0"," ",""
"2024","Quintile 5","18","Scotland","I prefer not to say","70"," ",""
"2015","Quintile 5","18","Wales","I prefer not to say","0"," ",""
"2016","Quintile 5","18","Wales","I prefer not to say","0"," ",""
"2017","Quintile 5","18","Wales","I prefer not to say","0"," ",""
"2018","Quintile 5","18","Wales","I prefer not to say","0"," ",""
"2019","Quintile 5","18","Wales","I prefer not to say","0"," ",""
"2020","Quintile 5","18","Wales","I prefer not to say","0"," ",""
"2021","Quintile 5","18","Wales","I prefer not to say","0"," ",""
"2022","Quintile 5","18","Wales","I prefer not to say","0"," ",""
"2023","Quintile 5","18","Wales","I prefer not to say","0"," ",""
"2024","Quintile 5","18","Wales","I prefer not to say","10"," ",""
"2015","All","18","Northern Ireland","Woman","4490","12160","0.37"
"2016","All","18","Northern Ireland","Woman","4640","11920","0.39"
"2017","All","18","Northern Ireland","Woman","4640","11820","0.392"
"2018","All","18","Northern Ireland","Woman","4230","11140","0.38"
"2019","All","18","Northern Ireland","Woman","4320","10920","0.395"
"2020","All","18","Northern Ireland","Woman","4860","10880","0.447"
"2021","All","18","Northern Ireland","Woman","5320","10940","0.486"
"2022","All","18","Northern Ireland","Woman","5240","11080","0.47300000000000003"
"2023","All","18","Northern Ireland","Woman","5280","11240","0.47000000000000003"
"2024","All","18","Northern Ireland","Woman","5190","11450","0.453"
"2015","All","18","England","Woman","108330","313890","0.34500000000000003"
"2016","All","18","England","Woman","110550","307070","0.36"
"2017","All","18","England","Woman","112000","304090","0.368"
"2018","All","18","England","Woman","110590","296680","0.373"
"2019","All","18","England","Woman","112240","292160","0.384"
"2020","All","18","England","Woman","115840","286880","0.404"
"2021","All","18","England","Woman","129690","296020","0.438"
"2022","All","18","England","Woman","128860","305000","0.423"
"2023","All","18","England","Woman","127120","313350","0.406"
"2024","All","18","England","Woman","128990","316930","0.40700000000000003"
"2015","All","18","Scotland","Woman","8390","29350","0.28600000000000003"
"2016","All","18","Scotland","Woman","8550","28640","0.298"
"2017","All","18","Scotland","Woman","8610","27820","0.31"
"2018","All","18","Scotland","Woman","8620","27330","0.315"
"2019","All","18","Scotland","Woman","8480","26390","0.321"
"2020","All","18","Scotland","Woman","8570","26010","0.33"
"2021","All","18","Scotland","Woman","9930","26770","0.371"
"2022","All","18","Scotland","Woman","9810","27390","0.358"
"2023","All","18","Scotland","Woman","9600","27970","0.343"
"2024","All","18","Scotland","Woman","10010","28730","0.34800000000000003"
"2015","All","18","Wales","Woman","5920","18320","0.323"
"2016","All","18","Wales","Woman","6030","17770","0.339"
"2017","All","18","Wales","Woman","5830","17340","0.336"
"2018","All","18","Wales","Woman","5710","16730","0.341"
"2019","All","18","Wales","Woman","5640","16100","0.35000000000000003"
"2020","All","18","Wales","Woman","5620","15720","0.358"
"2021","All","18","Wales","Woman","6480","15960","0.406"
"2022","All","18","Wales","Woman","6240","16520","0.378"
"2023","All","18","Wales","Woman","6070","17200","0.353"
"2024","All","18","Wales","Woman","6010","16780","0.358"
"2015","All","18","Northern Ireland","Man","3260","12680","0.257"
"2016","All","18","Northern Ireland","Man","3340","12530","0.266"
"2017","All","18","Northern Ireland","Man","3260","12380","0.263"
"2018","All","18","Northern Ireland","Man","3110","12060","0.258"
"2019","All","18","Northern Ireland","Man","3090","11470","0.269"
"2020","All","18","Northern Ireland","Man","3530","11390","0.31"
"2021","All","18","Northern Ireland","Man","4040","11400","0.355"
"2022","All","18","Northern Ireland","Man","3830","11800","0.325"
"2023","All","18","Northern Ireland","Man","3740","11950","0.313"
"2024","All","18","Northern Ireland","Man","3550","12030","0.295"
"2015","All","18","England","Man","84910","329560","0.258"
"2016","All","18","England","Man","86810","322880","0.269"
"2017","All","18","England","Man","87990","319730","0.275"
"2018","All","18","England","Man","86450","312490","0.277"
"2019","All","18","England","Man","87800","305830","0.28700000000000003"
"2020","All","18","England","Man","89070","302270","0.295"
"2021","All","18","England","Man","101330","312290","0.324"
"2022","All","18","England","Man","101360","320710","0.316"
"2023","All","18","England","Man","100480","329990","0.305"
"2024","All","18","England","Man","101350","333590","0.304"
"2015","All","18","Scotland","Man","5930","30830","0.192"
"2016","All","18","Scotland","Man","6020","30190","0.199"
"2017","All","18","Scotland","Man","5940","29520","0.201"
"2018","All","18","Scotland","Man","5930","28240","0.21"
"2019","All","18","Scotland","Man","5500","27450","0.2"
"2020","All","18","Scotland","Man","5700","27130","0.21"
"2021","All","18","Scotland","Man","6490","28390","0.229"
"2022","All","18","Scotland","Man","6800","29050","0.234"
"2023","All","18","Scotland","Man","6750","29070","0.232"
"2024","All","18","Scotland","Man","7120","30020","0.23700000000000002"
"2015","All","18","Wales","Man","4260","19360","0.22"
"2016","All","18","Wales","Man","4340","18540","0.234"
"2017","All","18","Wales","Man","4200","18180","0.231"
"2018","All","18","Wales","Man","4180","17670","0.23600000000000002"
"2019","All","18","Wales","Man","4040","17500","0.231"
"2020","All","18","Wales","Man","3970","16790","0.23700000000000002"
"2021","All","18","Wales","Man","4500","17110","0.263"
"2022","All","18","Wales","Man","4430","17290","0.256"
"2023","All","18","Wales","Man","4200","17840","0.23500000000000001"
"2024","All","18","Wales","Man","4100","18020","0.227"
"2015","All","18","Northern Ireland","Unknown","0"," ",""
"2016","All","18","Northern Ireland","Unknown","0"," ",""
"2017","All","18","Northern Ireland","Unknown","0"," ",""
"2018","All","18","Northern Ireland","Unknown","0"," ",""
"2019","All","18","Northern Ireland","Unknown","0"," ",""
"2020","All","18","Northern Ireland","Unknown","0"," ",""
"2021","All","18","Northern Ireland","Unknown","0"," ",""
"2022","All","18","Northern Ireland","Unknown","0"," ",""
"2023","All","18","Northern Ireland","Unknown","0"," ",""
"2024","All","18","Northern Ireland","Unknown","0"," ",""
"2015","All","18","England","Unknown","0"," ",""
"2016","All","18","England","Unknown","0"," ",""
"2017","All","18","England","Unknown","0"," ",""
"2018","All","18","England","Unknown","0"," ",""
"2019","All","18","England","Unknown","0"," ",""
"2020","All","18","England","Unknown","0"," ",""
"2021","All","18","England","Unknown","0"," ",""
"2022","All","18","England","Unknown","0"," ",""
"2023","All","18","England","Unknown","0"," ",""
"2024","All","18","England","Unknown","0"," ",""
"2015","All","18","Scotland","Unknown","0"," ",""
"2016","All","18","Scotland","Unknown","0"," ",""
"2017","All","18","Scotland","Unknown","0"," ",""
"2018","All","18","Scotland","Unknown","0"," ",""
"2019","All","18","Scotland","Unknown","0"," ",""
"2020","All","18","Scotland","Unknown","0"," ",""
"2021","All","18","Scotland","Unknown","0"," ",""
"2022","All","18","Scotland","Unknown","0"," ",""
"2023","All","18","Scotland","Unknown","0"," ",""
"2024","All","18","Scotland","Unknown","0"," ",""
"2015","All","18","Wales","Unknown","0"," ",""
"2016","All","18","Wales","Unknown","0"," ",""
"2017","All","18","Wales","Unknown","0"," ",""
"2018","All","18","Wales","Unknown","0"," ",""
"2019","All","18","Wales","Unknown","0"," ",""
"2020","All","18","Wales","Unknown","0"," ",""
"2021","All","18","Wales","Unknown","0"," ",""
"2022","All","18","Wales","Unknown","0"," ",""
"2023","All","18","Wales","Unknown","0"," ",""
"2024","All","18","Wales","Unknown","0"," ",""
"2015","All","18","Northern Ireland","Undisclosed","0"," ",""
"2016","All","18","Northern Ireland","Undisclosed","0"," ",""
"2017","All","18","Northern Ireland","Undisclosed","0"," ",""
"2018","All","18","Northern Ireland","Undisclosed","0"," ",""
"2019","All","18","Northern Ireland","Undisclosed","0"," ",""
"2020","All","18","Northern Ireland","Undisclosed","0"," ",""
"2021","All","18","Northern Ireland","Undisclosed","0"," ",""
"2022","All","18","Northern Ireland","Undisclosed","0"," ",""
"2023","All","18","Northern Ireland","Undisclosed","0"," ",""
"2024","All","18","Northern Ireland","Undisclosed","0"," ",""
"2015","All","18","England","Undisclosed","0"," ",""
"2016","All","18","England","Undisclosed","0"," ",""
"2017","All","18","England","Undisclosed","0"," ",""
"2018","All","18","England","Undisclosed","0"," ",""
"2019","All","18","England","Undisclosed","0"," ",""
"2020","All","18","England","Undisclosed","0"," ",""
"2021","All","18","England","Undisclosed","0"," ",""
"2022","All","18","England","Undisclosed","0"," ",""
"2023","All","18","England","Undisclosed","0"," ",""
"2024","All","18","England","Undisclosed","0"," ",""
"2015","All","18","Scotland","Undisclosed","0"," ",""
"2016","All","18","Scotland","Undisclosed","0"," ",""
"2017","All","18","Scotland","Undisclosed","0"," ",""
"2018","All","18","Scotland","Undisclosed","0"," ",""
"2019","All","18","Scotland","Undisclosed","0"," ",""
"2020","All","18","Scotland","Undisclosed","0"," ",""
"2021","All","18","Scotland","Undisclosed","0"," ",""
"2022","All","18","Scotland","Undisclosed","0"," ",""
"2023","All","18","Scotland","Undisclosed","0"," ",""
"2024","All","18","Scotland","Undisclosed","0"," ",""
"2015","All","18","Wales","Undisclosed","0"," ",""
"2016","All","18","Wales","Undisclosed","0"," ",""
"2017","All","18","Wales","Undisclosed","0"," ",""
"2018","All","18","Wales","Undisclosed","0"," ",""
"2019","All","18","Wales","Undisclosed","0"," ",""
"2020","All","18","Wales","Undisclosed","0"," ",""
"2021","All","18","Wales","Undisclosed","0"," ",""
"2022","All","18","Wales","Undisclosed","0"," ",""
"2023","All","18","Wales","Undisclosed","0"," ",""
"2024","All","18","Wales","Undisclosed","0"," ",""
"2015","All","18","Northern Ireland","I use another term","0"," ",""
"2016","All","18","Northern Ireland","I use another term","0"," ",""
"2017","All","18","Northern Ireland","I use another term","0"," ",""
"2018","All","18","Northern Ireland","I use another term","0"," ",""
"2019","All","18","Northern Ireland","I use another term","0"," ",""
"2020","All","18","Northern Ireland","I use another term","0"," ",""
